,BTCUSDT,ETHUSDT,spread,zscore
80,16150.79,1130.41,-70.59349999999904,-0.5841185485250778
81,16125.58,1125.41,-24.053499999999985,0.13973130698436553
82,16066.59,1111.44,117.42599999999948,2.048282656283963
83,16049.46,1114.25,59.972499999999854,1.3064691966154198
84,16055.71,1116.61,32.35650000000169,1.0110740198065409
85,16041.07,1110.55,104.6775000000016,1.9477957484220265
86,16026.47,1106.41,149.48649999999907,2.22761612920929
87,16071.69,1113.84,88.08600000000297,1.3799653558359888
88,16035.9,1105.65,169.8224999999984,2.012180606890102
89,16025.69,1101.0,226.34000000000015,2.167857777337711
90,15995.81,1098.73,229.03449999999975,1.8793413476729985
91,16007.91,1102.65,184.8824999999997,1.3491238822374898
92,15996.9,1100.47,205.15549999999894,1.3638894953329026
93,16033.5,1103.25,201.8625000000011,1.207583575640249
94,15850.58,1093.42,160.0029999999988,0.7886250588081073
95,15746.99,1083.35,200.91750000000138,1.025081545735836
96,15767.5,1090.41,120.11650000000009,0.29507317511370734
97,15832.5,1101.17,30.71049999999923,-0.5364552642676355
98,15821.25,1099.73,40.1244999999999,-0.5635866722186531
99,15901.0,1108.01,1.0565000000005966,-1.0605851097875154
100,15830.44,1104.3,-16.2649999999976,-1.3382669554063125
101,15893.4,1105.87,24.165500000000975,-1.0227529678141358
102,15906.83,1105.23,46.77950000000055,-0.8363941339177071
103,15896.5,1105.73,29.274499999999534,-0.9785358308554162
104,15700.5,1094.87,-10.884499999998297,-1.3708530307606541
105,15700.5,1098.23,-59.100500000000466,-1.7612294493471614
106,15849.77,1111.75,-103.84249999999884,-1.9241044924318087
107,15842.0,1114.5,-151.0749999999989,-2.0127141156193478
108,15776.5,1107.86,-121.29099999999744,-1.553451905810709
109,15834.66,1114.21,-154.2535000000007,-1.6090848562528102
110,15837.87,1109.66,-85.7510000000002,-0.9822473163731946
111,15834.59,1108.63,-74.25050000000192,-0.8131025782680772
112,15816.09,1107.29,-73.52149999999892,-0.7302887760361282
113,15905.0,1112.82,-63.966999999998734,-0.5758549371463619
114,15952.05,1111.65,-0.1275000000023283,0.12915305414029646
115,15919.81,1109.18,3.076999999999316,0.264534937865021
116,15887.29,1107.04,1.2660000000014406,0.4321950234636457
117,15905.41,1107.61,11.206500000002052,0.7264667775530599
118,15863.0,1104.16,18.304000000000087,0.8563636599966322
119,15866.56,1103.03,38.079499999999825,1.1767707072294333
120,15848.01,1101.75,37.897500000000946,1.1175324231214423
121,15805.79,1096.87,65.70550000000367,1.4137871050314104
122,15834.22,1099.2,60.69999999999891,1.2777277324292695
123,15838.11,1101.39,33.16349999999875,0.8986597197919187
124,15929.96,1108.95,16.527499999998327,0.6699226196961163
125,15919.5,1109.2,2.4799999999995634,0.45295966480003913
126,15910.0,1107.95,10.917499999999563,0.5264608092798371
127,15872.06,1103.19,41.28349999999955,0.8816549813257447
